episode,alpha = 0.9,alpha = 0.7,alpha = 0.5
441.0,96.43255556935202,79.88260109223292,55.20052273417508
442.0,94.76166319665037,77.58510010715344,55.381746836988995
443.0,93.54368619739932,75.61997761799212,54.98884789627272
444.0,91.10582185262118,74.09207651902655,55.23656740854692
445.0,89.50101905841983,72.0152983508885,56.67248545843053
446.0,88.64990358654715,70.47671954540392,57.9706929467821
447.0,88.0273350390879,69.12831927253914,59.126241019939485
448.0,86.81739299426476,67.56273287744696,60.470431736515835
449.0,86.94828519295206,67.1408699433084,61.109439092356475
450.0,88.23539244180013,67.21603744205717,61.991704223035285
451.0,89.93419215666837,67.65192461271992,62.3689852044773
452.0,91.46507510191933,67.07599708177402,63.80813714356081
453.0,92.70812409260712,66.48663662220687,64.61281652478948
454.0,92.93872798579416,66.85457155760328,64.4837581862588
455.0,93.13851694715308,67.66537490738226,64.66867729325377
456.0,93.26065414643242,69.98133468330727,65.71679041974576
457.0,94.18329892815125,72.43449463978592,66.12003312034558
458.0,94.21837830649358,73.80225522680263,66.95282680295102
459.0,93.09263122562027,74.42209342964227,67.99345826054439
460.0,92.1404676963644,75.44342628625216,69.30297781387284
461.0,91.78705611336397,76.61185303157092,69.46628024113235
462.0,91.88504282357415,76.62591531542634,70.23191540902874
463.0,91.68732478452156,76.66044530478298,71.38460781012711
464.0,91.43124869910478,76.9378422608541,71.54526645213843
465.0,90.2403460890469,76.28316914612266,71.76939574046074
466.0,88.92975718436678,75.72739164353915,72.26052940604964
467.0,86.40776447688638,76.50594255529899,72.14666210360987
468.0,85.10685098701923,77.09229327865135,71.06197289153522
469.0,84.29439810605125,78.06802217578162,70.15666068510257
470.0,82.94629892412742,79.50713694879609,69.61840998671019
471.0,81.8121540285737,82.0918149780348,68.63852630921093
472.0,81.15981776772199,84.34749644172177,67.91380199081837
473.0,81.06416342851259,85.93150964388212,68.32101149130443
474.0,80.94687742043784,86.69158496069458,67.85525866667157
475.0,80.26757044929899,88.05335029170709,66.84621755210412
476.0,80.51716996545392,88.29129113768424,66.53418331390121
477.0,80.74387963352153,88.89016856635449,66.35744105688104
478.0,81.41326497591619,87.45918669782212,66.38739785979298
479.0,81.9061099503916,86.02850201683466,66.66882410299263
480.0,81.2105916994882,84.04977841118257,67.26924723097254
481.0,80.44163847697192,82.52483256957291,67.27287520213261
482.0,79.64479848791393,81.04054527082118,66.39910127805473
483.0,78.79985026203236,80.69323534512327,66.52320727376139
484.0,77.96003012492329,79.4545965616396,67.63319427087941
485.0,76.86487986776477,78.27260452182159,67.53930253723486
486.0,75.80519961757211,76.5254825511876,67.88955346234951
487.0,73.82375528494924,76.05884017006335,68.21142245670282
488.0,72.6527103401644,75.11890919733764,68.52609629622457
489.0,72.76310244774476,73.78877977422832,68.86556382971263
490.0,72.81742704556373,72.19412576541535,69.75688843537003
491.0,72.40626285534492,70.90228010996758,70.36910337414228
492.0,72.67262992708511,69.64337687862432,70.25486011183266
493.0,73.28990990182498,68.79470409035497,69.51094248523675
494.0,73.69941919320713,68.59933673533007,69.40188235676627
495.0,74.11587765557107,69.09237322551442,68.78740906167151
496.0,76.03002397506032,70.36096579529439,68.04350391802288
497.0,78.22378386950325,71.16582031001403,67.31731879865237
498.0,80.30354766629073,72.32938522764161,66.90169667055618
499.0,82.31446861527866,73.59397747649126,66.35506903155387
500.0,84.07087770941541,75.26036342004275,66.30144892447419
501.0,85.13196226589551,76.60253838698631,65.99411536871364
502.0,86.83127622035762,77.70906611098212,65.9988436549113
503.0,89.80683698815535,77.82295128183071,66.25935693669264
504.0,92.3350071684621,78.82284454760185,66.56390094011402
505.0,93.33582721812313,79.70240744835692,66.95599589386515
506.0,94.41192837720091,80.73855093136224,67.62540734915912
507.0,95.17877283405858,82.11499363766707,67.86419317198047
508.0,96.30777375624106,82.6052551397008,67.45957860692035
